"Time (UTCG)","Lat (deg)","Lon (deg)","Rad (km)","x (nT)","y (nT)","z (nT)","Magnitude (nT)"
1 Aug 2025 00:00:00.000,32.553,-126.400,6797.560008,-15248.61,-11812.33,32696.08,37961.62
1 Aug 2025 00:01:00.000,29.880,-123.121,6798.186168,-16489.68,-11534.66,30226.81,36312.78
1 Aug 2025 00:02:00.000,27.130,-120.016,6798.823880,-17583.06,-11237.15,27588.56,34591.42
1 Aug 2025 00:03:00.000,24.315,-117.063,6799.468449,-18532.87,-10919.58,24813.48,32839.20
1 Aug 2025 00:04:00.000,21.446,-114.240,6800.115235,-19345.69,-10581.10,21924.37,31094.91
1 Aug 2025 00:05:00.000,18.531,-111.527,6800.759703,-20024.72,-10220.27,18935.23,29393.64
1 Aug 2025 00:06:00.000,15.580,-108.907,6801.397471,-20564.99,-9835.20,15855.35,27767.64
1 Aug 2025 00:07:00.000,12.599,-106.361,6802.024360,-20951.16,-9424.09,12696.11,26247.97
1 Aug 2025 00:08:00.000,9.594,-103.875,6802.636433,-21159.09,-8986.00,9478.36,24865.53
1 Aug 2025 00:09:00.000,6.573,-101.433,6803.230033,-21161.07,-8521.84,6238.17,23650.10
1 Aug 2025 00:10:00.000,3.540,-99.021,6803.801815,-20933.71,-8035.43,3028.75,22626.57
1 Aug 2025 00:11:00.000,0.502,-96.625,6804.348773,-20466.38,-7534.20,-82.60,21809.26
1 Aug 2025 00:12:00.000,-2.537,-94.231,6804.868260,-19767.77,-7029.31,-3022.54,21196.97
1 Aug 2025 00:13:00.000,-5.570,-91.827,6805.358003,-18868.14,-6534.96,-5722.86,20771.70
1 Aug 2025 00:14:00.000,-8.594,-89.398,6805.816110,-17816.38,-6066.90,-8131.65,20502.55
1 Aug 2025 00:15:00.000,-11.601,-86.931,6806.241074,-16672.22,-5640.58,-10221.47,20353.32
1 Aug 2025 00:16:00.000,-14.587,-84.410,6806.631768,-15495.92,-5269.27,-11991.71,20290.14
1 Aug 2025 00:17:00.000,-17.544,-81.821,6806.987433,-14338.45,-4962.75,-13464.70,20285.91
1 Aug 2025 00:18:00.000,-20.466,-79.146,6807.307667,-13235.30,-4726.99,-14676.94,20320.68
1 Aug 2025 00:19:00.000,-23.346,-76.368,6807.592400,-12205.55,-4564.66,-15668.50,20379.24
1 Aug 2025 00:20:00.000,-26.173,-73.469,6807.841872,-11255.89,-4476.36,-16474.40,20448.44
1 Aug 2025 00:21:00.000,-28.939,-70.427,6808.056603,-10387.87,-4461.97,-17120.40,20516.46
1 Aug 2025 00:22:00.000,-31.633,-67.221,6808.237361,-9604.99,-4521.51,-17624.32,20574.66
1 Aug 2025 00:23:00.000,-34.241,-63.827,6808.385124,-8917.31,-4655.33,-18001.43,20621.40
1 Aug 2025 00:24:00.000,-36.749,-60.220,6808.501047,-8341.79,-4863.36,-18271.45,20666.01
1 Aug 2025 00:25:00.000,-39.141,-56.376,6808.586421,-7898.91,-5144.00,-18464.15,20731.10
1 Aug 2025 00:26:00.000,-41.398,-52.269,6808.642636,-7606.85,-5493.01,-18621.61,20851.90
1 Aug 2025 00:27:00.000,-43.498,-47.877,6808.671140,-7475.61,-5902.99,-18796.53,21072.25
1 Aug 2025 00:28:00.000,-45.417,-43.183,6808.673406,-7502.66,-6363.63,-19047.46,21438.09
1 Aug 2025 00:29:00.000,-47.131,-38.178,6808.650891,-7671.10,-6862.79,-19432.54,21990.16
1 Aug 2025 00:30:00.000,-48.613,-32.862,6808.605008,-7950.13,-7388.01,-20003.30,22757.84
1 Aug 2025 00:31:00.000,-49.836,-27.255,6808.537091,-8297.18,-7928.01,-20799.58,23755.40
1 Aug 2025 00:32:00.000,-50.775,-21.391,6808.448375,-8660.95,-8473.64,-21845.94,24981.19
1 Aug 2025 00:33:00.000,-51.409,-15.327,6808.339966,-8984.87,-9018.31,-23149.41,26418.80
1 Aug 2025 00:34:00.000,-51.722,-9.135,6808.212831,-9210.70,-9557.66,-24698.54,28039.33
1 Aug 2025 00:35:00.000,-51.707,-2.903,6808.067778,-9282.33,-10089.03,-26463.60,29803.90
1 Aug 2025 00:36:00.000,-51.363,3.280,6807.905454,-9149.55,-10610.75,-28398.07,31666.27
1 Aug 2025 00:37:00.000,-50.700,9.330,6807.726338,-8771.40,-11121.65,-30441.34,33575.34
1 Aug 2025 00:38:00.000,-49.733,15.173,6807.530747,-8118.79,-11620.82,-32522.56,35477.81
1 Aug 2025 00:39:00.000,-48.484,20.756,6807.318838,-7175.98,-12107.54,-34564.95,37320.54
1 Aug 2025 00:40:00.000,-46.979,26.045,6807.090627,-5940.65,-12581.27,-36490.13,39052.65
1 Aug 2025 00:41:00.000,-45.243,31.024,6806.846002,-4423.09,-13041.73,-38221.93,40627.17
1 Aug 2025 00:42:00.000,-43.304,35.691,6806.584744,-2644.44,-13489.01,-39689.20,42002.14
1 Aug 2025 00:43:00.000,-41.187,40.057,6806.306553,-634.83,-13923.75,-40827.75,43141.39
1 Aug 2025 00:44:00.000,-38.915,44.141,6806.011077,1568.48,-14347.48,-41581.46,44015.09
1 Aug 2025 00:45:00.000,-36.509,47.964,6805.697940,3922.43,-14762.92,-41902.96,44600.31
1 Aug 2025 00:46:00.000,-33.988,51.552,6805.366779,6379.00,-15174.12,-41754.25,44881.66
1 Aug 2025 00:47:00.000,-31.368,54.929,6805.017274,8885.65,-15586.19,-41107.76,44852.34
1 Aug 2025 00:48:00.000,-28.665,58.121,6804.649185,11385.62,-16004.49,-39948.08,44515.45
1 Aug 2025 00:49:00.000,-25.889,61.151,6804.262385,13818.79,-16433.47,-38274.37,43885.59
1 Aug 2025 00:50:00.000,-23.053,64.040,6803.856894,16123.73,-16875.30,-36102.97,42990.41
1 Aug 2025 00:51:00.000,-20.166,66.809,6803.432913,18241.14,-17328.87,-33469.27,41871.48
1 Aug 2025 00:52:00.000,-17.236,69.477,6802.990847,20118.61,-17789.39,-30427.53,40583.94
1 Aug 2025 00:53:00.000,-14.272,72.062,6802.531339,21715.61,-18248.81,-27048.02,39194.16
1 Aug 2025 00:54:00.000,-11.280,74.579,6802.055286,23007.33,-18696.88,-23411.14,37775.55
1 Aug 2025 00:55:00.000,-8.267,77.045,6801.563862,23986.09,-19122.58,-19599.84,36402.74
1 Aug 2025 00:56:00.000,-5.238,79.473,6801.058526,24659.60,-19515.42,-15691.81,35145.13
1 Aug 2025 00:57:00.000,-2.200,81.879,6800.541036,25046.59,-19866.35,-11753.79,34061.05
1 Aug 2025 00:58:00.000,0.843,84.274,6800.013444,25171.11,-20168.16,-7839.25,33193.27
1 Aug 2025 00:59:00.000,3.885,86.675,6799.478101,25057.51,-20415.43,-3989.54,32566.63
1 Aug 2025 01:00:00.000,6.920,89.092,6798.937641,24727.56,-20604.33,-237.59,32187.68
1 Aug 2025 01:01:00.000,9.943,91.542,6798.394970,24200.17,-20732.50,3388.00,32046.27
1 Aug 2025 01:02:00.000,12.949,94.037,6797.853241,23493.38,-20798.99,6860.02,32118.48
1 Aug 2025 01:03:00.000,15.930,96.594,6797.315832,22626.91,-20804.45,10152.08,32370.77
1 Aug 2025 01:04:00.000,18.881,99.228,6796.786312,21624.19,-20751.09,13240.14,32764.53
1 Aug 2025 01:05:00.000,21.794,101.956,6796.268404,20512.66,-20642.61,16105.18,33260.54
1 Aug 2025 01:06:00.000,24.660,104.797,6795.765946,19322.51,-20483.92,18735.67,33822.71
1 Aug 2025 01:07:00.000,27.471,107.770,6795.282844,18084.20,-20280.76,21128.86,34420.58
1 Aug 2025 01:08:00.000,30.215,110.898,6794.823028,16826.01,-20039.32,23290.57,35030.55
1 Aug 2025 01:09:00.000,32.880,114.203,6794.390398,15571.86,-19766.10,25233.69,35635.94
1 Aug 2025 01:10:00.000,35.454,117.710,6793.988777,14340.24,-19467.82,26976.08,36226.34
1 Aug 2025 01:11:00.000,37.919,121.444,6793.621861,13143.82,-19151.37,28538.23,36796.27
1 Aug 2025 01:12:00.000,40.258,125.431,6793.293159,11989.83,-18823.70,29941.10,37343.77
1 Aug 2025 01:13:00.000,42.451,129.694,6793.005955,10880.93,-18491.50,31204.51,37868.88
1 Aug 2025 01:14:00.000,44.474,134.254,6792.763251,9816.40,-18160.81,32346.03,38372.42
1 Aug 2025 01:15:00.000,46.303,139.125,6792.567725,8793.39,-17836.75,33380.63,38855.37
1 Aug 2025 01:16:00.000,47.911,144.313,6792.421691,7807.79,-17523.41,34321.10,39318.82
1 Aug 2025 01:17:00.000,49.271,149.806,6792.327063,6854.35,-17224.18,35178.64,39764.19
1 Aug 2025 01:18:00.000,50.356,155.578,6792.285317,5926.03,-16942.15,35963.31,40193.46
1 Aug 2025 01:19:00.000,51.144,161.582,6792.297474,5012.81,-16680.53,36683.54,40608.50
1 Aug 2025 01:20:00.000,51.614,167.752,6792.364072,4100.80,-16442.73,37344.50,41009.66
1 Aug 2025 01:21:00.000,51.755,174.005,6792.485158,3172.36,-16231.98,37945.83,41393.57
1 Aug 2025 01:22:00.000,51.564,-179.750,6792.660279,2207.82,-16050.51,38479.52,41751.24
1 Aug 2025 01:23:00.000,51.045,-173.601,6792.888482,1188.53,-15898.65,38929.14,42067.30
1 Aug 2025 01:24:00.000,50.211,-167.629,6793.168323,100.15,-15774.20,39271.12,42320.87
1 Aug 2025 01:25:00.000,49.083,-161.898,6793.497881,-1064.62,-15672.19,39477.72,42488.13
1 Aug 2025 01:26:00.000,47.685,-156.452,6793.874776,-2305.15,-15585.44,39520.92,42545.54
