"Time (UTCG)","Lat (deg)","Lon (deg)","Rad (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Rad Rate (km/sec)"
1 Aug 2026 00:00:00.000,-42.968,-42.866,6718.794917,-0.034750,0.071934,0.002498
1 Aug 2026 00:01:00.000,-44.957,-38.393,6718.936100,-0.031498,0.077204,0.002210
1 Aug 2026 00:02:00.000,-46.738,-33.600,6719.060482,-0.027791,0.082583,0.001938
1 Aug 2026 00:03:00.000,-48.282,-28.486,6719.168918,-0.023613,0.087840,0.001679
1 Aug 2026 00:04:00.000,-49.562,-23.068,6719.262140,-0.018976,0.092677,0.001432
1 Aug 2026 00:05:00.000,-50.551,-17.381,6719.340735,-0.013921,0.096750,0.001193
1 Aug 2026 00:06:00.000,-51.226,-11.481,6719.405118,-0.008529,0.099716,0.000959
1 Aug 2026 00:07:00.000,-51.570,-5.443,6719.455520,-0.002915,0.101289,0.000727
1 Aug 2026 00:08:00.000,-51.574,0.642,6719.491975,0.002776,0.101307,0.000495
1 Aug 2026 00:09:00.000,-51.238,6.681,6719.514311,0.008393,0.099768,0.000258
1 Aug 2026 00:10:00.000,-50.571,12.585,6719.522159,0.013792,0.096832,0.000013
1 Aug 2026 00:11:00.000,-49.590,18.278,6719.514953,0.018855,0.092781,-0.000243
1 Aug 2026 00:12:00.000,-48.317,23.703,6719.491943,0.023502,0.087957,-0.000513
1 Aug 2026 00:13:00.000,-46.779,28.824,6719.452216,0.027690,0.082706,-0.000800
1 Aug 2026 00:14:00.000,-45.004,33.625,6719.394721,0.031407,0.077326,-0.001105
1 Aug 2026 00:15:00.000,-43.020,38.105,6719.318290,0.034668,0.072052,-0.001430
1 Aug 2026 00:16:00.000,-40.853,42.276,6719.221677,0.037504,0.067044,-0.001777
1 Aug 2026 00:17:00.000,-38.527,46.157,6719.103592,0.039954,0.062406,-0.002146
1 Aug 2026 00:18:00.000,-36.066,49.772,6718.962740,0.042058,0.058189,-0.002536
1 Aug 2026 00:19:00.000,-33.487,53.148,6718.797860,0.043860,0.054412,-0.002946
1 Aug 2026 00:20:00.000,-30.808,56.310,6718.607773,0.045395,0.051070,-0.003376
1 Aug 2026 00:21:00.000,-28.044,59.284,6718.391415,0.046699,0.048147,-0.003822
1 Aug 2026 00:22:00.000,-25.209,62.095,6718.147888,0.047801,0.045616,-0.004281
1 Aug 2026 00:23:00.000,-22.312,64.765,6717.876497,0.048725,0.043452,-0.004750
1 Aug 2026 00:24:00.000,-19.365,67.316,6717.576786,0.049494,0.041627,-0.005225
1 Aug 2026 00:25:00.000,-16.376,69.767,6717.248578,0.050123,0.040115,-0.005700
1 Aug 2026 00:26:00.000,-13.353,72.135,6716.892001,0.050627,0.038896,-0.006170
1 Aug 2026 00:27:00.000,-10.304,74.439,6716.507520,0.051016,0.037951,-0.006629
1 Aug 2026 00:28:00.000,-7.234,76.694,6716.095953,0.051300,0.037265,-0.007072
1 Aug 2026 00:29:00.000,-4.150,78.916,6715.658489,0.051483,0.036828,-0.007491
1 Aug 2026 00:30:00.000,-1.058,81.118,6715.196699,0.051571,0.036633,-0.007882
1 Aug 2026 00:31:00.000,2.036,83.316,6714.712534,0.051563,0.036677,-0.008236
1 Aug 2026 00:32:00.000,5.127,85.524,6714.208325,0.051460,0.036960,-0.008548
1 Aug 2026 00:33:00.000,8.209,87.756,6713.686768,0.051260,0.037487,-0.008813
