                                                             1 Nov 2025 12:09:54
Satellite-GASRATS


      Time (UTCG)            x (nT)       y (nT)       z (nT)     Magnitude (nT)
-----------------------    ---------    ---------    ---------    --------------
1 Aug 2026 00:00:00.000     -4093.07    -20878.38     -2719.04          21448.85
1 Aug 2026 00:01:00.000     -2316.50    -21262.15     -4325.11          21820.90
1 Aug 2026 00:02:00.000      -399.15    -21389.74     -5723.69          22145.90
1 Aug 2026 00:03:00.000      1593.43    -21269.03     -6889.84          22413.85
1 Aug 2026 00:04:00.000      3594.67    -20928.38     -7813.12          22626.61
1 Aug 2026 00:05:00.000      5547.01    -20413.50     -8501.25          22798.06
1 Aug 2026 00:06:00.000      7410.74    -19780.57     -8980.18          22952.86
1 Aug 2026 00:07:00.000      9170.00    -19086.91     -9290.88          23124.01
1 Aug 2026 00:08:00.000     10835.00    -18381.10     -9483.27          23349.40
1 Aug 2026 00:09:00.000     12440.07    -17693.84     -9608.07          23667.33
1 Aug 2026 00:10:00.000     14037.53    -17031.55     -9707.58          24111.47
1 Aug 2026 00:11:00.000     15687.98    -16373.82     -9806.75          24706.01
1 Aug 2026 00:12:00.000     17448.57    -15675.73     -9906.38          25462.08
1 Aug 2026 00:13:00.000     19361.20    -14874.71     -9979.75          26376.29
1 Aug 2026 00:14:00.000     21442.92    -13900.53     -9973.50          27431.62
1 Aug 2026 00:15:00.000     23679.65    -12686.27     -9812.04          28599.71
1 Aug 2026 00:16:00.000     26023.56    -11178.79     -9404.70          29843.58
1 Aug 2026 00:17:00.000     28393.33     -9347.54     -8654.30          31120.00
1 Aug 2026 00:18:00.000     30676.84     -7191.77     -7467.03          32381.27
1 Aug 2026 00:19:00.000     32736.44     -4745.99     -5763.31          33577.00
1 Aug 2026 00:20:00.000     34417.47     -2083.19     -3489.60          34656.59
1 Aug 2026 00:21:00.000     35560.55       685.59      -629.80          35572.74
1 Aug 2026 00:22:00.000     36017.17      3416.40      2785.67          36285.93
1 Aug 2026 00:23:00.000     35666.30      5942.76      6675.63          36769.09
1 Aug 2026 00:24:00.000     34429.38      8090.04     10909.99          37011.61
1 Aug 2026 00:25:00.000     32280.87      9691.60     15317.98          37021.92
1 Aug 2026 00:26:00.000     29253.07     10604.09     19701.15          36828.31
1 Aug 2026 00:27:00.000     25435.14     10719.72     23849.19          36477.97
1 Aug 2026 00:28:00.000     20967.11      9974.76     27556.55          36034.41
1 Aug 2026 00:29:00.000     16029.94      8353.81     30638.19          35573.07
1 Aug 2026 00:30:00.000     10832.39      5889.94     32943.17          35175.06
1 Aug 2026 00:31:00.000      5595.70      2660.84     34364.78          34918.91
1 Aug 2026 00:32:00.000       537.74     -1218.90     34845.65          34871.11
1 Aug 2026 00:33:00.000     -4141.14     -5608.12     34377.54          35077.28
1 Aug 2026 00:34:00.000     -8268.33    -10350.21     32996.04          35556.02
1 Aug 2026 00:35:00.000    -11704.34    -15282.76     30772.46          36297.36
1 Aug 2026 00:36:00.000    -14344.02    -20244.30     27805.42          37265.59
1 Aug 2026 00:37:00.000    -16115.77    -25078.20     24214.25          38405.26
1 Aug 2026 00:38:00.000    -16981.26    -29635.19     20134.59          39648.58
1 Aug 2026 00:39:00.000    -16936.56    -33776.52     15715.19          40922.70
1 Aug 2026 00:40:00.000    -16014.12    -37379.10     11113.70          42156.41
1 Aug 2026 00:41:00.000    -14283.63    -40342.47      6490.26          43285.80
1 Aug 2026 00:42:00.000    -11849.57    -42596.01      1998.74          44258.64
1 Aug 2026 00:43:00.000     -8844.45    -44104.50     -2223.00          45037.46
1 Aug 2026 00:44:00.000     -5418.29    -44870.34     -6061.80          45600.99
